Video Title,Video Post Date,Video URL,Video Play Count
[PPOP CON 2022] ‘BLAH BLAH’ CONCERT STAGE REHEARSAL | KAIA,2022-04-12,https://www.youtube.com/watch?v=o-WsRnYri4I,22347
‘BLAH BLAH’ by KAIA | Official Lyric Video,2022-04-10,https://www.youtube.com/watch?v=EXEsSnJJvgU,53255
[PPOP CON 2022] ‘BLAH BLAH’ CONVENTION STAGE REHEARSAL | KAIA,2022-04-09,https://www.youtube.com/watch?v=35DTsA9JKaM,49996
KAIA 'BLAH BLAH' Official Music Video,2022-04-08,https://www.youtube.com/watch?v=sgrKukIok1E,1081970
KAIA ‘BLAH BLAH’ MV Teaser,2022-04-06,https://www.youtube.com/watch?v=Bxt2_RH6xEw,42123
KAIA ‘BLAH BLAH’ Concept Teaser | Angela,2022-04-05,https://www.youtube.com/watch?v=luZKOdcNaII,16497
KAIA ‘BLAH BLAH’ Concept Teaser | Alexa,2022-04-04,https://www.youtube.com/watch?v=2nbH3emEQW8,14613
KAIA ‘BLAH BLAH’ Concept Teaser | Sophia,2022-04-03,https://www.youtube.com/watch?v=Kg6JQP_82_E,15052
KAIA ‘BLAH BLAH’ Concept Teaser | Charice,2022-04-02,https://www.youtube.com/watch?v=Ru9sB2Iw7PA,21114
KAIA ‘BLAH BLAH’ Concept Teaser | Charlotte,2022-04-01,https://www.youtube.com/watch?v=jRa2q7cbqz4,24773
KAIA 'ANINO' Concept Trailer,2022-03-28,https://www.youtube.com/watch?v=uee8Az3Vyk8,57729
[KAIA Dance Practice] KAIA 'KAYA' (Moving Ver.),2022-03-22,https://www.youtube.com/watch?v=MskPPx6_p90,92309
KAIA 'KAYA' Dance Practice Teaser 2,2022-03-22,https://www.youtube.com/watch?v=HloVqgh73NI,3922
KAYA by KAIA Relay Dance,2022-03-21,https://www.youtube.com/watch?v=XiXvGHL4uhs,30132
[KAIA Dance Practice] KAIA 'KAYA' (Still Ver.),2022-03-19,https://www.youtube.com/watch?v=93JePETgpcg,303867
KAIA 'KAYA' Dance Practice Teaser,2022-03-16,https://www.youtube.com/watch?v=rDcPOgF5fBM,10369
KAIA 'KAYA' Fan Chant Guide,2022-03-12,https://www.youtube.com/watch?v=vK1ua6vrRos,13660
KAIA 'KAYA' Dance Unplugged,2022-03-05,https://www.youtube.com/watch?v=xxqf-bUhkME,111400
‘KAIA or LAIA’ Unit 2 🐉🍒| KAIA,2022-02-18,https://www.youtube.com/watch?v=AmT5wm7FLfM,15709
‘KAIA or LAIA’ Unit 2 Teaser 🐉🍒| KAIA,2022-02-15,https://www.youtube.com/watch?v=quvTV4iTzIg,5535
‘KAIA or LAIA’ Unit 1 🦊🐻🍊 | KAIA,2022-02-11,https://www.youtube.com/watch?v=oQrqY8W_TJU,28557
‘KAIA or LAIA’ Unit 1 Teaser 🦊🐻🍊 | KAIA,2022-02-08,https://www.youtube.com/watch?v=yXSUeRnzac0,6145
[KAIA Behind] ‘KAYA’ Performance Video Shoot,2021-12-31,https://www.youtube.com/watch?v=RxASdqv2r-E,22082
Happy Holidays from KAIA | 2021,2021-12-24,https://www.youtube.com/watch?v=sK3VfZOgd8M,7121
KAIA Holiday Special 2021,2021-12-24,https://www.youtube.com/watch?v=SIA0yAOXAL4,19860
KAIA 'KAYA' Performance Reaction Video,2021-12-18,https://www.youtube.com/watch?v=6quYx6rMyxs,34994
KAIA ‘KAYA’ Invite Video | Charice 🍒,2021-12-17,https://www.youtube.com/watch?v=OmqJewzRYUE,5657
KAIA ‘KAYA’ Invite Video | Sophia 🦊,2021-12-16,https://www.youtube.com/watch?v=F_LmC1m9fUo,4687
KAIA 'KAYA' Reaction Video Teaser,2021-12-15,https://www.youtube.com/watch?v=UHdNzfZCtys,12621
KAIA ‘KAYA’ Invite Video | Alexa 🐉,2021-12-15,https://www.youtube.com/watch?v=7wWastGzg3A,5377
KAIA ‘KAYA’ Invite Video | Charlotte 🍊,2021-12-13,https://www.youtube.com/watch?v=cZcfS3-TgVU,7914
KAIA ‘KAYA’ Official Lyric Video,2021-12-12,https://www.youtube.com/watch?v=651rqfDZTGI,114231
KAIA ‘KAYA’ Invite Video | Angela 🐻,2021-12-12,https://www.youtube.com/watch?v=xjUdh5d9D9g,34205
KAIA 'KAYA' Official Video,2021-12-10,https://www.youtube.com/watch?v=9aFDvAvCFE8,855309
KAIA 'KAYA' Official Video Teaser,2021-12-08,https://www.youtube.com/watch?v=3xeiWrT1gKs,32322
KAIA 'KAYA' Concept Teaser: CHARICE,2021-12-06,https://www.youtube.com/watch?v=rh8GUhTRreE,11438
KAIA 'KAYA' Concept Teaser: SOPHIA,2021-12-05,https://www.youtube.com/watch?v=BFwxpR_Q3AY,8997
KAIA 'KAYA' Concept Teaser: ALEXA,2021-12-04,https://www.youtube.com/watch?v=JKnUy0rsQEI,10740
KAIA 'KAYA' Concept Teaser: CHARLOTTE,2021-12-02,https://www.youtube.com/watch?v=OWcuPOl_0A0,15837
KAIA 'KAYA' Concept Teaser: ANGELA,2021-12-01,https://www.youtube.com/watch?v=HrQsajbc9mM,22778
[KAIA Behind] Member Reveal Shoot,2021-11-27,https://www.youtube.com/watch?v=rXql8IJin1U,21821
KAIA Member Reveal: Charice,2021-11-19,https://www.youtube.com/watch?v=SFdjm8qpbKw,23150
KAIA Member Reveal: Alexa,2021-11-17,https://www.youtube.com/watch?v=vENT-FTzg0Y,15506
KAIA Member Reveal: Sophia,2021-11-15,https://www.youtube.com/watch?v=XfE9n6nJPM0,19641
KAIA Member Reveal: Angela,2021-11-12,https://www.youtube.com/watch?v=w2xzacE42MQ,31915
KAIA Member Reveal: Charlotte,2021-11-10,https://www.youtube.com/watch?v=UcBaFBv0p-E,27500
Official Logo | KAIA,2021-11-08,https://www.youtube.com/watch?v=SRxl6PgTkcw,18600
