Video Title,Video Post Date,Video URL,Video Play Count
Excited na ba kayo para sa #YOUDIDIT MV mamaya? Kasi si #KAIA_SOPHIA halatang excited na! 🦊🤩 #KAIA,2024-05-16,https://www.youtube.com/watch?v=FDQ9zp2IoJ0,7055
"CoCoon & ZAIA, kaya niyo rin bang umeksena ng #YOUDIDIT like #YARA & #KAIA? 🤔 #YDIDanceChallenge",2024-05-16,https://www.youtube.com/watch?v=vrB47K5Ap1Y,6740
KAIA 'YOU DID IT' MV Teaser 2,2024-05-15,https://www.youtube.com/watch?v=OIQwyr35qYA,3546
"All eyes to the one and only, Jao of #ALAMAT 🙌🏻💜 #YOUDIDIT #YDIDanceChallenge #YOUDIDITbyKAIA #KAIA",2024-05-15,https://www.youtube.com/watch?v=8UiwIO_vEAk,5970
"Lahat ay haharapin, sila na nakatingin! 🍒😎 #KAIA #YOUDIDIT #YouDidItbyKAIA #YDIDanceChallenge",2024-05-15,https://www.youtube.com/watch?v=jezC2Jcdszw,10561
KAIA 'YOU DID IT' MV Teaser 1,2024-05-11,https://www.youtube.com/watch?v=pa0Hta9pido,7385
Nagbubulag-bulagan kahit kitang-kita ko...👀💔❤️‍🩹 #YDIChallenge #YOUDIDIT,2024-05-04,https://www.youtube.com/watch?v=rOu_SGC-4Lk,2282
"[KAIA Guesting] What a great way to spend the weekend — good vibes, good company, and good music! 💯",2024-05-01,https://www.youtube.com/watch?v=IaW1jCrZeOM,3380
[KAIA Guesting]Didn't get enough of KAIA on It's Showtime & Showtime Online U? Let's rewind the fun!,2024-04-30,https://www.youtube.com/watch?v=XzAZZxa158o,7607
Try this with your friends! 😂😏👀🫵🏻 Join the #YDIDanceChallenge and tag us in your entries.,2024-04-26,https://www.youtube.com/watch?v=CF0nr20xC1M,12642
"Lahat ay haharapin, sila na nakatingin 🫡 Sino na nakapag #YDIDanceChallenge? Don't forget to tag us!",2024-04-23,https://www.youtube.com/watch?v=AtN3B4YzLts,4979
"[KAIA Guesting] KAIA conquered the YOU DID IT Media Tour, and our hearts! 💜",2024-04-22,https://www.youtube.com/watch?v=jMZChz9A9Ok,1870
[KAIA Guesting] Wish granted! ✨ We're bringing you exclusive highlights from KAIA's #WishBus visit 💜,2024-04-20,https://www.youtube.com/watch?v=0SofqhDpHkI,3228
[YOU DID IT] Here's #JOSHCULLEN showin' how to get it right! 😎 Join the #YDIDanceChallenge & tag us!,2024-04-16,https://www.youtube.com/watch?v=fSyfbG0gr88,9122
[YOU DID IT] #VXON did it! Iba talaga! 🙌🏻 Sino naman kaya ang next sa #YDIDanceChallenge? 💜,2024-04-15,https://www.youtube.com/watch?v=Zgp-0kQm-OU,5439
[YOU DID IT] POV: Nonchalant at OA mong kaibigan pag galit. Sino ka dito? Join the #YDIChallenge 🫵🏻💜,2024-04-15,https://www.youtube.com/watch?v=r-70Ij72J0s,13821
[YOU DID IT] Join the #YDIDanceChallenge and don't forget to tag us! 💜#KAIA #YOUDIDITBYKAIA,2024-04-14,https://www.youtube.com/watch?v=sXfkGm4tMv4,29160
KAIA ‘YOU DID IT’ Official Lyric Video,2024-04-12,https://www.youtube.com/watch?v=p_WGn5AbHCA,61947
[YOU DID IT] YOU DID IT Audio Snippet,2024-04-10,https://www.youtube.com/watch?v=nT50wRQcC78,3852
"[KAIAVERSITY] This is it, classmates! See you mamayang 7PM! 🫶🏼",2024-04-06,https://www.youtube.com/watch?v=un7u-LImmac,1032
"[KAIAVERSITY] The wait is almost over!⌛Kaya pa ba, ZAIA?",2024-04-05,https://www.youtube.com/watch?v=NO5W9QRmrWU,676
"[KAIAVERSITY] 2 days to go 🤩 We’re almost there, classmates!",2024-04-04,https://www.youtube.com/watch?v=HAmIHgRo2uk,581
[KAIAVERSITY]We’re excited to share our special surprise 🤫 4 days to go!,2024-04-02,https://www.youtube.com/watch?v=M7ZVP2TG1tE,547
[KAIAVERSITY] 📚 5 days ‘til the new semester starts,2024-04-01,https://www.youtube.com/watch?v=SOfwcQEgDyI,451
