Video Title,Video Post Date,Video URL,Video Play Count
[KAIA Shorts] KAIA on Spotify Radar,2023-05-24,https://www.youtube.com/watch?v=CvthN9i-fvM,1977
[KAIA Shorts] 23rd KaaROARwan 🐉,2023-05-20,https://www.youtube.com/watch?v=5r4WIGorqfI,6216
KAIA '5678' Performance Video (Ver. 1),2023-05-20,https://www.youtube.com/watch?v=RXtjbl_ZDxY,30993
[MamaToldMeKAIA] - #KAIA_SOPHIA 🦊,2023-05-14,https://www.youtube.com/watch?v=JUJXItYU5cU,1177
[MamaToldMeKAIA] - #KAIA_CHARICE 🍒 & #KAIA_ANGELA 🐻,2023-05-14,https://www.youtube.com/watch?v=nNBk_MIIjSQ,1637
[MamaToldMeKAIA] - #KAIA_CHARLOTTE 🍊,2023-05-14,https://www.youtube.com/watch?v=yQG8IVMRZRA,923
[MamaToldMeKAIA] - #KAIA_ALEXA 🐉,2023-05-13,https://www.youtube.com/watch?v=R65VXWMBRrY,934
[KA1Anniversary] KAIA Goes to Enchanted Kingdom with ZAIA,2023-05-03,https://www.youtube.com/watch?v=RWengYEq1Nw,12433
[KA1Anniversary] KAIA Fanmeet Highlights,2023-04-30,https://www.youtube.com/watch?v=YDYJMQcjTX4,5118
[KAIA Shorts] KAIA at PBA,2023-04-18,https://www.youtube.com/watch?v=iMWASToj2c4,8534
[KA1Anniversary] Maalaala Mo KAIA with #KAIA_SOPHIA,2023-04-16,https://www.youtube.com/watch?v=jwSSdGpcNsM,1736
[KA1Anniversary] Maalaala Mo KAIA with Charice,2023-04-16,https://www.youtube.com/watch?v=RttZb4f3fa0,2971
[KA1Anniversary] Maalaala Mo KAIA with #KAIA_CHARLOTTE,2023-04-16,https://www.youtube.com/watch?v=BEEpERQ7vFo,1658
[KA1Anniversary] Maalaala Mo KAIA with #KAIA_ANGELA,2023-04-16,https://www.youtube.com/watch?v=gjr96NHS5W4,1578
[KA1Anniversary] Maalaala Mo KAIA with #KAIA_ALEXA,2023-04-16,https://www.youtube.com/watch?v=MrzGTngwbn8,1621
KAIA '5678' MV Behind the Scenes,2023-04-13,https://www.youtube.com/watch?v=2SJsmf_N6_I,10340
[KAIA Vlog] Cafe Janggeum & Jang Geum Kitchen Mukbang (with a twist!),2023-04-09,https://www.youtube.com/watch?v=_xjEoXNmoS0,13526
[KAIA Shorts] KAIA at Eat Bulaga,2023-03-30,https://www.youtube.com/watch?v=f3ICqvw9HPA,8097
KAIA '5678' Reaction Video,2023-03-29,https://www.youtube.com/watch?v=fN_4xfy8A_U,12070
[KAIA Shorts] KAIA at Rappler,2023-03-29,https://www.youtube.com/watch?v=e8q7EjA30SY,5712
[KAIA Shorts] KAIA at A-WAVE PPop Fest,2023-03-28,https://www.youtube.com/watch?v=GPoF38HMvzQ,3568
[KAIA Shorts] '5678' on #SpatialAudio ft. #DolbyAtmos,2023-03-27,https://www.youtube.com/watch?v=bg_xjYi0Kck,2086
KAIA '5678' Official Music Video,2023-03-25,https://www.youtube.com/watch?v=7_PGKzNVD4I,955162
KAIA '5678' MV Teaser,2023-03-24,https://www.youtube.com/watch?v=OUbxZcP-ebg,8358
[KAIA Behind] KAIA for PARCINQ Shoot Part 2,2023-03-20,https://www.youtube.com/watch?v=WNpphAiq1XM,4968
KAIA '5678' Official Lyric Video,2023-03-16,https://www.youtube.com/watch?v=rgMqUxnBd5w,32564
KAIA '5678' Title Reveal,2023-03-12,https://www.youtube.com/watch?v=vggDfnBV-r8,2814
[KAIA Behind] KAIA for PARCINQ Shoot Part 1,2023-03-11,https://www.youtube.com/watch?v=X4PTw4c9aog,6723
[KAIA Shorts] KAIA 'TURN UP' Rap Part ❣️#TURNUPbyKAIA,2023-03-04,https://www.youtube.com/watch?v=GCL-PHoYEXg,9751
[KAIA Shorts] KAIA TURN UP Media Tour,2023-02-28,https://www.youtube.com/watch?v=Uo2wkmXLhnk,1387
[KAIA Vlog] KAIA 'TURN UP' Media Tour Vlog,2023-02-26,https://www.youtube.com/watch?v=KZlDzZJxKFg,6489
#KAIATURNNUPChallenge on Eat Bulaga ❣️,2023-02-25,https://www.youtube.com/watch?v=UMdaqbECh_k,7218
[KAIA Vlog] KAIA x TFN at SONY,2023-02-19,https://www.youtube.com/watch?v=brgkNtNNHLU,15201
KAIA 'TURN UP' Dance Tutorial,2023-02-18,https://www.youtube.com/watch?v=AZ_UaSasnco,5874
[KAIA Shorts] TURN UP Photoshoot BTS #TURNUPbyKAIA #KAIA,2023-02-17,https://www.youtube.com/watch?v=zcnQFrTWHiA,2912
[KAIA Shorts] TURN UP! #KAIA #TURNUPbyKAIA,2023-02-15,https://www.youtube.com/watch?v=1t3VcwRSCsM,3307
