Video Title,Video Post Date,Video URL,Video Play Count
[KAIA Performance] 'Walang Biruan' by KAIA | Backyard Live Spotlight: KAIA,2026-05-20,https://www.youtube.com/watch?v=ZUv5eSzKp1k,10401
'YOU DID IT' + 'Takedown' | Backyard Live Spotlight by KAIA is OUT NOW 🚪✨ #KAIA #YOUDIDITbyKAIA,2026-05-16,https://www.youtube.com/watch?v=7ZvDvp3ACuo,7444
[KAIA Performance] ‘YOU DID IT’ + ‘Takedown’ | Backyard Live Spotlight: KAIA,2026-05-16,https://www.youtube.com/watch?v=1uarIJgKRpQ,696183
"Sabi nga ni Mama, you don't deserve my love! 💋 #TANGAbyKAIA with @hara.officialph 4 ya! 💎 #KAIA",2026-05-06,https://www.youtube.com/watch?v=zs5X_n1ywRY,7049
We're going ALL IN for #TANGAbyKAIA with @HANA_BRAVE_Official #NAOKO & #JISOO! 🌹#KAIA #HANA,2026-04-21,https://www.youtube.com/watch?v=1lJ00XvNS7U,5835
[KAIA Kovers] KAIA Angela - ‘love… at first sight?’ by Regina Song (Cover) | Studio Version,2026-03-30,https://www.youtube.com/watch?v=9kRbCobfnvI,16537
ang kambal sa kiyeme??? 👯‍♀️🐻🍒#KAIA #KAIATok,2026-03-05,https://www.youtube.com/watch?v=sJy2hVjz68M,7156
'wag mong bibitawan 🤝🏻🙂‍↔️ #KAIA #KAIAtok,2026-03-03,https://www.youtube.com/watch?v=q0c_LgdKoVE,14412
"""a day in a life"" kumbaga 🤯🥲 #KAIA #KAIAtok",2026-03-03,https://www.youtube.com/watch?v=k8cbQEcKcOs,4203
us kapag tinatanong when ang album release: #KAIA #KAIAtok,2026-03-03,https://www.youtube.com/watch?v=xjJ_-roGCR0,10056
🤎 #KAIA #KAIAtok,2026-03-03,https://www.youtube.com/watch?v=SNNBEkcTJKI,6598
Get gew aw! 💣💥 #KAIA #KAIAtok,2026-03-03,https://www.youtube.com/watch?v=zvXJz1ooXjA,12565
WE'RE BACK!!! 🐻🍒🐉🦊🍊 #KAIA #KAIATok,2026-03-03,https://www.youtube.com/watch?v=Tj40d3jPQbY,16653
[KAIA Performance] 'TANGA' by KAIA (Acoustic Version) | KAIA at Alpas La Union,2026-03-01,https://www.youtube.com/watch?v=guJ5soNZYaY,16795
SABIHIN MO LANG... kung kailan ka mag-rroar 🍒🦕 #KAIA #HEYJUNE #KAIA_CHARICE @heyjunemusic,2026-02-15,https://www.youtube.com/watch?v=it9g212Qjs8,31030
[KAIA Performance] ‘DALAWA’ - KAIA (Acoustic Version) | Live at Alpas La Union,2026-02-14,https://www.youtube.com/watch?v=_jsHekbnyhc,9742
[KAIA Performance] ‘KAYA’ - KAIA (Acoustic Version) | Live at Alpas La Union,2026-02-12,https://www.youtube.com/watch?v=P4RpN-6moe0,7911
"over, over, overdrive 🛞🍊🐉🦊 #KAIA #KAIA_CHARLOTTE #KAIA_ALEXA #KAIA_SOPHIA",2026-02-04,https://www.youtube.com/watch?v=7znBxFs6s9A,12985
haven't you heard? 🖥️ #KAIA #KAIAtok,2026-02-02,https://www.youtube.com/watch?v=E5BNVCBc7O8,24867
[KAIA Vlog] KAIA x Puregold (MV & OPM Con BTS),2026-02-01,https://www.youtube.com/watch?v=FNYbbuVRJmc,3320
Mic check? Game na? 🙌🏻 #KAIA #KAIATok,2026-01-23,https://www.youtube.com/watch?v=IPFP0ISCMGs,13397
"ito na, rarampa na!!! 🤩🪩 #KAIA #KAIATok",2026-01-18,https://www.youtube.com/watch?v=mH2zO6agvyA,22163
